Blocks,TPB,Kernel Time, Malloc Time,Total Time,Total Speedup
1,32,0.90972,596130671727,635600195,596766271922,1.00000000000000000000
2,32,0.918143,339797364379,594306003,340391670382,1.75437108765238496017
3,32,0.920843,242357714653,601004701,242958719354,2.45971403295546324752
4,32,0.922457,188166363489,577098977,188743462466,3.16810433423638517452
5,32,0.918723,151771527505,564300208,152335827713,3.92781624805984059664
6,32,0.919057,131783328892,550868932,132334197824,4.52356665094979652777
7,32,0.891434,111785787763,574411761,112360199524,5.33279483605619326264
8,32,0.900797,96952819245,539521891,97492341136,6.14866773724832492363
9,32,0.901791,83866398437,548276803,84414675240,7.10809910568426571528
10,32,0.919494,73406756638,551368098,73958124736,8.12092372731810491627
11,32,0.913669,66692503893,568305900,67260809793,8.93849588678540334736
12,32,0.915563,62431411485,579375394,63010786879,9.54856950287322180026
13,32,0.916914,57818659205,588454060,58407113265,10.31035101684696702402
14,32,0.914597,54790732074,555561816,55346293890,10.88013700787698659359
15,32,0.903031,52374737397,563894802,52938632199,11.38202693425143704496
16,32,0.872417,50341180046,554909300,50896089346,11.84180965130886395670
17,32,0.90544,48660050662,556687701,49216738363,12.25092583375658467373
18,32,0.914466,47898572249,471816803,48370389052,12.44568770501182710524
19,32,0.914223,46289860316,562069890,46851930206,12.87821280205826404637
20,32,0.910551,44607571596,556909887,45164481483,13.36388981507470268254
21,32,0.91364,43438173085,586143191,44024316276,13.72365892461658070673
22,32,0.908423,42379789838,560286103,42940075941,14.06639046596869063029
23,32,0.905489,41434487874,558748912,41993236786,14.38730637964684404536
24,32,0.8729,40593899247,473707103,41067606350,14.68522814474531377850
25,32,0.90804,39801475632,562742200,40364217832,14.97760226878916839451
26,32,0.913086,39031304951,563179104,39594484055,15.27314222456522960233
27,32,0.910971,38329840831,571493992,38901334823,15.55265189739237819064
28,32,0.898397,37706418445,553390399,38259808844,15.80979303554217478795
29,32,0.884603,37101193425,567045300,37668238725,16.06769531368518235205
30,32,0.909223,37662878875,546277702,38209156577,15.82806969444658523863
31,32,0.907791,36549446019,625292395,37174738414,16.31025190962142664808
32,32,0.909969,35928379414,628270899,36556650313,16.59219484569096017062